#,origin,destination,flow
0,22400,13215,1
1,36985,1809,1
2,36801,18227,1
3,16754,16282,1
4,5107,34475,1
5,3605,24836,1
6,8190,12726,1
7,11884,13648,1
8,23931,14745,1
9,17624,16231,1
10,5151,9166,1
11,783,21320,1
12,11251,11446,1
13,28083,5495,1
14,5343,30514,1
15,25402,27719,1
16,16229,4229,1
17,32545,3671,1
18,9515,17568,1
19,10498,10472,1
20,10499,20673,1
21,25457,5205,1
22,32971,5205,1
23,33872,38967,1
24,31426,6364,1
25,25187,2581,1
26,25848,19685,1
27,25001,7526,1
28,17158,20628,1
29,32936,10476,1
30,29529,28509,1
31,19371,20553,1
32,19353,20548,1
33,27821,23587,1
34,6609,36242,1
35,35546,14395,1
36,37454,21732,1
37,14827,9241,1
38,8013,3563,1
39,14167,1513,1
40,14022,13613,1
41,16396,28887,1
42,11645,23090,1
43,11033,25004,1
44,3324,14733,1
45,20256,6017,1
46,9404,27294,1
47,13970,26294,1
48,20102,9292,1
49,20090,8455,1
50,37476,30147,1
51,7705,25272,1
52,28300,21945,1
53,17104,25482,1
54,33737,36381,1
55,19838,4747,1
56,31290,4751,1
57,19610,4629,1
58,24651,19139,1
59,27482,16219,1
60,5276,8679,1
61,39792,16914,1
62,12907,12474,1
63,23248,15810,1
64,28706,13891,1
65,40300,35550,1
66,14051,24728,1
67,27698,2012,1
68,31259,28760,1
69,19255,8908,1
70,4249,10029,1
71,27110,28002,1
72,33864,10368,1
73,18830,5344,1
74,33261,20628,1
75,19685,28188,1
76,33261,19371,1
77,16535,29536,1
78,25030,30638,1
79,23860,22080,1
80,8784,35386,1
81,31265,35382,1
82,35977,1842,1
83,25392,17787,1
84,1839,15090,1
85,10327,18057,1
86,36243,22273,1
87,30052,23106,1
88,19394,20035,1
89,14470,34285,1
90,12015,26613,1
91,13847,7782,1
92,27519,11450,1
93,6381,23379,1
94,25030,11452,1
95,5165,29531,1
96,23105,13624,1
97,3263,13192,1
98,23105,13205,1
99,4733,22324,1
100,7461,22336,1
101,16937,35802,1
102,41241,24620,1
103,25845,32825,1
104,17190,23299,1
105,16278,1083,1
106,23415,10726,1
107,15258,11802,1
108,32073,26122,1
109,32126,27719,1
110,2408,5681,1
111,6860,17042,1
112,10472,10766,1
113,11925,7460,1
114,1981,11129,1
115,35551,38492,1
116,40065,31603,1
117,26750,4566,1
118,36175,23021,1
119,36176,16993,1
120,7635,17026,1
121,6163,36803,1
122,22208,31338,1
123,11708,11923,1
124,28377,28082,1
125,19831,32128,1
126,38187,15252,1
127,8570,36807,1
128,17294,20257,1
129,37687,11932,1
130,7699,7561,1
131,6800,19731,1
132,1375,23592,1
133,11543,39535,1
134,41214,16344,1
135,17612,6077,1
136,17051,23699,1
137,17051,34909,1
138,17051,858,1
139,34056,23627,1
140,34629,22920,1
141,24239,16431,1
142,14715,37226,1
143,19731,37453,1
144,31611,7060,1
145,20307,19037,1
146,10514,30305,1
147,20429,2317,1
148,20050,12106,1
149,13979,37849,1
150,9670,36053,1
151,17209,13653,1
152,3263,30116,1
153,12449,17219,1
154,41346,31158,1
155,25011,19086,1
156,17287,28245,1
157,30282,41729,1
158,886,5739,1
159,20271,19407,1
160,28890,27445,1
161,23631,14680,1
162,23931,10489,1
163,38003,16191,1
164,21777,28681,1
165,29055,27520,1
166,32206,5355,1
167,29483,40389,1
168,24239,36122,1
169,38460,24141,1
170,30513,6612,1
171,8460,38061,1
172,38849,18702,1
173,8459,26557,1
174,24905,11575,1
175,28296,6024,1
176,21719,6024,1
177,18847,8785,1
178,13472,26154,1
179,14366,5961,1
180,22827,28086,1
181,16378,35198,1
182,31211,26363,1
183,23105,4709,1
184,27782,8904,1
185,40433,3726,1
186,4838,24774,1
187,16336,34682,1
188,17902,9452,1
189,17584,21513,1
190,34045,11807,1
191,16224,7085,1
192,16490,5777,1
193,35802,28810,1
194,11452,6313,1
195,5378,28563,1
196,8027,19142,1
197,9502,36214,1
198,13620,10643,1
199,19360,19782,1
200,33742,31211,1
201,14826,16222,1
202,9244,17193,1
203,7073,23376,1
204,24147,3078,1
205,873,7790,1
206,8451,1588,1
207,35347,1588,1
208,13918,25098,1
209,19139,41431,1
210,17189,20466,1
211,16218,22336,1
212,10217,13204,1
213,30795,22413,1
214,37481,22413,1
215,24996,2400,1
216,2058,14877,1
217,21700,22319,1
218,23437,17190,1
219,26574,34816,1
220,33279,3223,1
221,17042,35332,1
222,58,37967,1
223,16233,12070,1
224,24615,4719,1
225,16423,28802,1
226,16374,16974,1
227,35619,22062,1
228,26509,30498,1
229,9244,32870,1
230,13447,2009,1
231,31274,6022,1
232,3990,28733,1
233,8745,1140,1
234,11793,19901,1
235,9617,16962,1
236,32672,14435,1
237,7123,23621,1
238,17778,23214,1
239,4084,10971,1
240,14463,11455,1
241,8748,37129,1
242,33712,23376,1
243,28799,25556,1
244,5338,11406,1
245,39103,11326,1
246,20391,11786,1
247,28224,30044,1
248,24137,12111,1
249,34893,11179,1
250,12338,37002,1
251,4516,873,1
252,13778,16336,1
253,17330,21554,1
254,4738,19928,1
255,38838,6902,1
256,9007,30424,1
257,34285,32649,1
258,19909,1128,1
259,26354,27779,1
260,6576,27880,1
261,6576,4040,1
262,39306,15282,1
263,39306,7363,1
264,24551,24619,1
265,23041,31485,1
266,24553,32899,1
267,21125,1259,1
268,8405,6751,1
269,27048,3908,1
270,27542,41923,1
271,28799,27698,1
272,5988,27058,1
273,34924,22187,1
274,8190,28828,1
275,16779,8727,1
276,35619,28826,1
277,15244,31441,1
278,16706,23203,1
279,33859,11009,1
280,3778,26866,1
281,20253,10488,1
282,28827,16793,1
283,31735,27887,1
284,32073,12112,1
285,32160,37583,1
286,1857,11812,1
287,1892,19031,1
288,22413,12035,1
289,13054,2555,1
290,23105,26021,1
291,8654,6513,1
292,29512,28697,1
293,25545,35734,1
294,27552,11792,1
295,21670,36214,1
296,23968,24614,1
297,3903,12130,1
298,4753,7551,1
299,5137,19371,1
300,7079,5154,1
301,28082,7150,1
302,11794,22093,1
303,38567,8713,1
304,35301,7499,1
305,17312,10632,1
306,36839,30498,1
307,36663,24141,1
308,16607,26121,1
309,36421,872,1
310,16268,3037,1
311,39724,7080,1
312,21554,7080,1
313,15002,7060,1
314,3596,28889,1
315,29667,33332,1
316,41476,37619,1
317,25848,7423,1
318,16233,20210,1
319,16233,23618,1
320,10606,29455,1
321,36988,33270,1
322,31275,20992,1
323,26282,4452,1
324,36451,22281,1
325,37734,28878,1
326,26046,36894,1
327,2860,17793,1
328,4642,39803,1
329,7635,27432,1
330,35550,9001,1
331,21529,9003,1
332,24728,5140,1
333,31290,5140,1
334,35544,5136,1
335,34466,36333,1
336,3223,28812,1
337,11812,7085,1
338,38855,7083,1
339,17184,28813,1
340,1147,28813,1
341,19129,28811,1
342,29371,6156,1
343,17978,7383,1
344,17978,29995,1
345,27750,1574,1
346,23549,41112,1
347,12116,7353,1
348,32629,4150,1
349,17095,6822,1
350,31338,33731,1
351,20938,13953,1
352,13613,39213,1
353,7908,25390,1
354,13621,27408,1
355,12085,8339,1
356,2555,18379,1
357,9784,27519,1
358,14133,12305,1
359,20101,26020,1
360,10778,3286,1
361,26578,19781,1
362,3594,34087,1
363,36899,25545,1
364,5144,32937,1
365,30538,7145,1
366,20098,40406,1
367,18930,16638,1
368,103,13657,1
369,103,32831,1
370,13707,13636,1
371,32050,13578,1
372,26524,31324,1
373,22066,31322,1
374,14433,16124,1
375,11127,16437,1
376,30795,3497,1
377,30820,3503,1
378,34351,36999,1
379,4747,28995,1
380,27927,13588,1
381,2781,31437,1
382,17912,12324,1
383,9784,21149,1
384,37309,6799,1
385,17361,41220,1
386,7575,1088,1
387,24996,3324,1
388,19054,3465,1
389,32488,36318,1
390,29403,23105,1
391,32869,3263,1
392,18238,15246,1
393,3262,17361,1
394,37263,39420,1
395,16868,27518,1
396,36385,18989,1
397,4712,3725,1
398,10327,20311,1
399,1154,19201,1
400,9015,36496,1
401,16167,30640,1
402,23921,19705,1
403,18997,362,1
404,3633,35637,1
405,6108,5681,1
406,31310,5681,1
407,4232,4084,1
408,13168,30639,1
409,1260,32202,1
410,17165,7141,1
411,20311,40175,1
412,30286,33294,1
413,24552,18937,1
414,21469,36989,1
415,27910,14745,1
416,12743,7085,1
417,26150,3001,1
418,20303,30114,1
419,15022,18064,1
420,30725,35327,1
421,31436,28654,1
422,6556,30771,1
423,19345,38849,1
424,32123,30057,1
425,34798,26063,1
426,18831,8460,1
427,64,16520,1
428,21877,21107,1
429,11006,13341,1
430,10504,1970,1
431,17300,14721,1
432,11805,3733,1
433,20210,16779,1
434,5289,25746,1
435,33244,8190,1
436,28285,3774,1
437,31268,21115,1
438,4552,7073,1
439,23928,16387,1
440,39864,20066,1
441,31833,26486,1
442,14570,27881,1
443,6642,40676,1
444,5138,24704,1
445,16315,33218,1
446,5343,19287,1
447,37802,6375,1
448,3263,28075,1
449,3263,35619,1
450,17032,13555,1
451,33137,39996,1
452,35410,7492,1
453,16865,41199,1
454,23437,24836,1
455,2791,11844,1
456,24993,25577,1
457,28733,25852,1
458,21270,42002,1
459,26281,17786,1
460,36490,1677,1
461,26492,14395,1
462,23599,17187,1
463,40277,34184,1
464,1369,12075,1
465,1365,11447,1
466,28085,23202,1
467,27109,22547,1
468,34755,19353,1
469,19236,26460,1
470,34751,27058,1
471,3029,35328,1
472,3039,1156,1
473,14982,28678,1
474,11452,12324,1
475,16849,30706,1
476,28668,1195,1
477,11776,37853,1
478,37804,10003,1
479,11034,41050,1
480,7938,17299,1
481,1447,33993,1
482,17026,2413,1
483,19162,2405,1
484,17026,17084,1
485,10473,1074,1
486,21772,9021,1
487,14050,26581,1
488,14055,14397,1
489,40300,18956,1
490,12646,17269,1
491,5328,35658,1
492,33860,6452,1
493,7339,25246,1
494,27411,19057,1
495,21554,7946,1
496,5281,41079,1
497,38486,13779,1
498,16216,36328,1
499,35328,26282,1
500,11810,1610,1
501,11809,26282,1
502,7258,17273,1
503,8042,36420,1
504,16869,24141,1
505,8671,29116,1
506,1673,11892,1
507,34015,929,1
508,27022,34700,1
509,10497,12165,1
510,22235,30059,1
511,22235,38855,1
512,26842,13344,1
513,28293,9017,1
514,30419,37458,1
515,35151,7279,1
516,32858,18049,1
517,15450,35633,1
518,32943,28689,1
519,31486,27719,1
520,17745,26263,1
521,27444,4576,1
522,28603,29371,1
523,13352,15510,1
524,10723,35775,1
525,10563,12751,1
526,38967,36214,1
527,5205,19142,1
528,10563,36214,1
529,13320,17051,1
530,29432,15283,1
531,17101,33924,1
532,40240,39211,1
533,24839,3263,1
534,38111,10582,1
535,30064,6255,1
536,8488,5136,1
537,12607,25408,1
538,40300,1560,1
539,32640,28657,1
540,41231,28684,1
541,32645,33279,1
542,30844,11925,1
543,17268,5166,1
544,29005,27520,1
545,29005,5354,1
546,2837,27516,1
547,17206,31600,1
548,26414,41919,1
549,23050,12773,1
550,17273,10145,1
551,35357,1208,1
552,32938,21716,1
553,20231,28641,1
554,52,16374,1
555,11790,35531,1
556,23715,6061,1
557,30640,18101,1
558,7076,16724,1
559,7853,1550,1
560,38130,10571,1
561,13136,36801,1
562,19782,2085,1
563,7079,22393,1
564,34944,18049,1
565,39499,12253,1
566,38973,16272,1
567,3587,26209,1
568,8444,25250,1
569,25457,10568,1
570,6812,24887,1
571,11802,5353,1
572,27719,27854,1
573,21161,17379,1
574,14750,27485,1
575,22321,13778,1
576,33271,19119,1
577,39814,11803,1
578,1259,20850,1
579,1259,11843,1
580,21645,23968,1
581,12324,29398,1
582,27242,11795,1
583,2032,2233,1
584,10472,11789,1
585,30823,1548,1
586,22319,35979,1
587,32929,36877,1
588,12933,1930,1
589,35549,29531,1
590,19838,29531,1
591,38801,2152,1
592,38801,13953,1
593,17035,973,1
594,10217,9507,1
595,11864,21469,1
596,14357,33412,1
597,37277,3956,1
598,11803,32402,1
599,3027,26301,1
600,3041,4608,1
601,11803,23866,1
602,3037,35994,1
603,20315,7128,1
604,30099,6259,1
605,18339,21554,1
606,37958,28810,1
607,19824,30313,1
608,33136,12055,1
609,3126,32827,1
610,7589,19248,1
611,33742,16611,1
612,33870,21978,1
613,20002,40950,1
614,29053,28081,1
615,13979,1778,1
616,10472,20297,1
617,20673,21699,1
618,28030,31076,1
619,19766,19128,1
620,15731,40389,1
621,7060,26842,1
622,41517,14023,1
623,23249,20465,1
624,39575,39147,1
625,11260,717,1
626,34816,12766,1
627,7423,35347,1
628,6003,31064,1
629,17964,177,1
630,21536,9938,1
631,39780,8998,1
632,3747,9000,1
633,23968,17190,1
634,23251,35802,1
635,433,32954,1
636,33106,22392,1
637,1701,13260,1
638,6035,11812,1
639,20903,11808,1
640,36447,13260,1
641,15248,20904,1
642,3324,7865,1
643,35628,11477,1
644,21696,40877,1
645,32595,29473,1
646,5494,31322,1
647,21161,13344,1
648,14750,9021,1
649,16227,35217,1
650,15689,6495,1
651,15797,28800,1
652,5548,19729,1
653,3563,36997,1
654,3467,11908,1
655,32241,18302,1
656,32090,27490,1
657,5346,945,1
658,38983,871,1
659,40283,27650,1
660,13950,33360,1
661,16365,7134,1
662,2610,10357,1
663,37376,11886,1
664,16768,40097,1
665,35330,2265,1
666,26122,16323,1
667,33411,22583,1
668,20490,5732,1
669,30858,12545,1
670,1225,23341,1
671,14982,22933,1
672,26115,26486,1
673,4733,23946,1
674,4747,7079,1
675,23105,2461,1
676,23105,28086,1
677,3263,3392,1
678,3263,5154,1
679,13778,28811,1
680,39306,4910,1
681,13429,4803,1
682,7147,30504,1
683,7145,28808,1
684,5176,30829,1
685,32646,30829,1
686,21596,30829,1
687,1443,27372,1
688,26225,10562,1
689,10327,4558,1
690,32237,28892,1
691,32237,13092,1
692,8654,35823,1
693,9787,5168,1
694,22076,4615,1
695,25848,41962,1
696,5350,34013,1
697,17004,28738,1
698,34908,31032,1
699,13634,21107,1
700,14724,17270,1
701,65,36418,1
702,31445,5128,1
703,15155,28269,1
704,13204,3747,1
705,7976,10630,1
706,19844,11535,1
707,7096,13173,1
708,7101,33928,1
709,30273,2605,1
710,28761,32006,1
711,28761,31327,1
712,10476,10689,1
713,7805,11911,1
714,9003,11452,1
715,5138,11452,1
716,7360,22080,1
717,15215,23086,1
718,29406,17600,1
719,32268,12699,1
720,20391,10778,1
721,22413,14553,1
722,19834,33960,1
723,3203,15230,1
724,7148,27440,1
725,7877,31152,1
726,17384,24236,1
727,26521,11805,1
728,4663,28262,1
729,6665,21665,1
730,15070,3024,1
731,7468,13778,1
732,22493,11377,1
733,13823,12068,1
734,31952,29454,1
735,5843,11406,1
736,34803,11443,1
737,9256,20025,1
738,32433,19134,1
739,8998,33300,1
740,28728,13368,1
741,20375,14055,1
742,32508,37994,1
743,19658,20941,1
744,26515,11922,1
745,37687,25556,1
746,7701,31324,1
747,37686,11921,1
748,7699,11923,1
749,10789,23583,1
750,22112,8543,1
751,7127,7306,1
752,23633,9786,1
753,35872,35335,1
754,35633,38115,1
755,11790,3596,1
756,10504,3789,1
757,17209,8466,1
758,28999,31920,1
759,16333,3259,1
760,19142,13397,1
761,17189,24333,1
762,6803,30498,1
763,6538,39089,1
764,4510,1076,1
765,20292,11792,1
766,7720,30021,1
767,21533,17575,1
768,4660,5340,1
769,17299,3497,1
770,4345,30511,1
771,26058,2008,1
772,24152,6382,1
773,14049,5353,1
774,22105,15127,1
775,1499,30035,1
776,19781,23421,1
777,11790,33868,1
778,16222,30984,1
779,11447,23028,1
780,35352,3263,1
781,18598,23105,1
782,33860,20798,1
783,22034,7576,1
784,6367,26363,1
785,23047,10487,1
786,25175,28689,1
787,20212,34935,1
788,25617,31620,1
789,23515,19623,1
790,34838,28732,1
791,3259,26131,1
792,35870,7865,1
793,39730,17186,1
794,22394,32197,1
795,15090,26370,1
796,13961,31288,1
797,16489,14361,1
798,15254,19409,1
799,11106,31680,1
800,24839,16328,1
801,16996,16716,1
802,21401,17979,1
803,26521,14725,1
804,13561,37376,1
805,16262,22319,1
806,22836,19119,1
807,17506,30325,1
808,34994,3047,1
809,27571,23715,1
810,32656,25756,1
811,24889,15970,1
812,24238,11477,1
813,21512,39348,1
814,40389,11785,1
815,35619,30113,1
816,28075,27049,1
817,25219,11809,1
818,15506,38855,1
819,1502,19155,1
820,20093,36385,1
821,12104,23236,1
822,23364,23112,1
823,7652,41997,1
824,21497,23058,1
825,31948,25503,1
826,11925,10542,1
827,23995,28224,1
828,18840,27727,1
829,2815,13920,1
830,11904,24620,1
831,32598,22829,1
832,21696,14826,1
833,4557,8654,1
834,35448,16230,1
835,41778,16508,1
836,12092,2517,1
837,7805,27476,1
838,19633,28503,1
839,10495,11792,1
840,23202,12785,1
841,12773,26212,1
842,3263,2184,1
843,20196,15094,1
844,20395,24274,1
845,15869,20389,1
846,41930,12282,1
847,19361,23365,1
848,19309,3324,1
849,7131,3205,1
850,15004,3072,1
851,35324,38855,1
852,17192,35313,1
853,18718,37029,1
854,12690,26116,1
855,3263,26973,1
856,3263,28821,1
857,23105,28284,1
858,17747,18530,1
859,12106,35560,1
860,35627,16722,1
861,16391,40686,1
862,25378,22406,1
863,1499,1156,1
864,12315,1147,1
865,13939,6676,1
866,16620,26668,1
867,37029,21124,1
868,8999,13681,1
869,23437,7504,1
870,8677,7502,1
871,6211,41062,1
872,34652,20482,1
873,39124,9705,1
874,34497,11805,1
875,11788,26209,1
876,37987,19411,1
877,40336,8466,1
878,34908,18993,1
879,30858,41210,1
880,10488,41212,1
881,35772,36380,1
882,18539,7279,1
883,18539,101,1
884,20261,36803,1
885,34015,12936,1
886,27520,14055,1
887,27854,14055,1
888,27516,14055,1
889,7708,17299,1
890,39803,11172,1
891,27438,36996,1
892,23535,3520,1
893,31379,5364,1
894,24707,14923,1
895,29490,27852,1
896,7101,21076,1
897,7099,13371,1
898,14445,10499,1
899,18957,5107,1
900,8471,40945,1
901,8471,12685,1
902,7859,14072,1
903,4229,19827,1
904,8825,17188,1
905,10497,7128,1
906,30243,14687,1
907,15306,5286,1
908,9666,26573,1
909,6655,3711,1
910,27520,20628,1
911,5167,8246,1
912,1584,15282,1
913,25030,7526,1
914,33983,3760,1
915,36421,5136,1
916,35544,19127,1
917,1973,27293,1
918,23438,11447,1
919,7085,28815,1
920,35798,29817,1
921,37959,6494,1
922,40522,11877,1
923,8014,6494,1
924,22319,33960,1
925,16422,18146,1
926,11812,13473,1
927,35332,27517,1
928,17182,16535,1
929,30063,24989,1
930,13973,13047,1
931,24989,25014,1
932,16603,16988,1
933,16603,7244,1
934,12379,11802,1
935,17187,18001,1
936,16425,32936,1
937,16772,31336,1
938,19134,10689,1
939,22409,28510,1
940,4709,31103,1
941,37356,2178,1
942,5429,11925,1
943,17176,26279,1
944,30513,6382,1
945,40404,28082,1
946,20089,26121,1
947,27900,26547,1
948,20025,14062,1
949,26123,11805,1
950,26582,1469,1
951,8683,41987,1
952,6860,26062,1
953,20673,28995,1
954,20673,3805,1
955,16436,34237,1
956,19004,37268,1
957,34702,8698,1
958,28749,28306,1
959,22920,25062,1
960,18421,7758,1
961,8782,6800,1
962,7939,2414,1
963,41987,27505,1
964,15356,2410,1
965,33304,18926,1
966,8748,16765,1
967,12645,35215,1
968,23554,13397,1
969,10354,7073,1
970,10558,20673,1
971,10556,20673,1
972,30835,12894,1
973,26150,2233,1
974,26150,29305,1
975,20420,31911,1
976,10217,26115,1
977,11864,26116,1
978,41366,4661,1
979,3075,27881,1
980,28813,3157,1
981,29527,32030,1
982,36335,35698,1
983,7954,3903,1
984,21976,2768,1
985,33842,28823,1
986,20512,12115,1
987,32124,12115,1
988,3947,7380,1
989,1074,19580,1
990,39239,6517,1
991,37854,7140,1
992,21431,10357,1
993,7485,16934,1
994,4645,16934,1
995,1077,30544,1
996,7517,20066,1
997,10545,35544,1
998,5342,21529,1
